id,name,text,trans
3004016020010,恋鐘,ん～～～～……,嗯～～～～……
3004016020020,恋鐘,息の入れ方……？\nうち、力入れすぎとるんやろか～？,是吹氣的方式……？\n因為我太用力了嗎～？
3004016020030,恋鐘,わからん～～……,毋知啦～～……
3004016020040,摩美々,恋鐘、お疲れー,恋鐘，辛苦了─
3004016020050,霧子,ふふ……\nハーモニカ……？,嘿嘿……\n口琴……？
3004016020060,恋鐘,摩美々、霧子～～！,摩美美、霧子～～！
3004016020070,恋鐘,今の、聞こえとったと～？,剛剛的都被聽到了嗎～？
3004016020080,摩美々,ふふー、ばりばりに聞こえてたぁ,嘻嘻─，都～聽到了喔
3004016020090,摩美々,……ハーモニカ、練習中ー？,……在練口琴─？
3004016020100,恋鐘,うん～\nなかなかうまくいきよらんけど、頑張らんばね！,嗯～\n蠻難上手的，得加油一點！
3004016020110,恋鐘,…………,…………
3004016020120,摩美々,……てゆーか,……是說
3004016020130,摩美々,今日、めっちゃ晴れてるじゃーん,今天，是大晴天耶─
3004016020140,霧子,うん……,嗯……
3004016020150,霧子,いいお天気……,天氣很好……
3004016020160,霧子,──あの……\nお出かけするのは……どうかな……？,──那個……\n要不要……出去走走……？
3004016020170,恋鐘,ふぇ……\nお出かけ……？,欸……\n出去……？
3004016020180,霧子,見つけたの……\n綺麗な……お庭……,發現一座……\n漂亮的……花園……
3004016020190,摩美々,ふーん……,嗯……
3004016020200,摩美々,……恋鐘はぁ？,……恋鐘要嗎？
3004016020210,恋鐘,うん～～～……,嗯～～～……
3004016020220,摩美々,……ふふ,……嘻嘻
3004016020230,恋鐘,なんね、摩美々～？,怎麼了，摩美美～？
3004016020240,摩美々,や、なんかぁ\nこの前と逆だなぁってー,沒，感覺啊\n跟上次倒過來了─
3004016020250,霧子,……\nお庭で……,……\n在花園……
3004016020260,霧子,ハーモニカ……\n吹いてみない……？,吹口琴……\n如何……？
3004016020270,恋鐘,……そいでもよか？\nそいなら、連れてってほしか！,……可以嗎？\n那我想帶過去！
3004016020280,恋鐘,ふぇ……\nばりよか匂い……！,哇……\n好棒的味道……！
3004016020290,霧子,うん……,嗯……
3004016020300,霧子,────すー……,────（吸）─……
3004016020310,恋鐘,────す～……,────（吸）～……
3004016020320,恋鐘,んふふ～～……\n気持ちよかね……！,嘿嘿嘿～～……\n好舒服喔……！
3004016020330,霧子,いっぱい……吸って……\nいっぱい……吹いてね……,大口吸氣……\n大口……吹口琴吧……
3004016020340,恋鐘,うん～！！,嗯～！！
3004016020350,摩美々,…………,…………
3004016020360,恋鐘,摩美々～？\nどがんしたとね？,摩美美～？\n怎麼了？
3004016020370,摩美々,……や、なんかぁ\n甘い匂い……,……欸\n怎麼有股甜甜的味道……
3004016020371,恋鐘＆霧子,……？,……？
3004016020380,霧子,わ……,哇……
3004016020390,恋鐘,こい、すごかね……,這好厲害……
3004016020400,摩美々,……ねー,……對吧─
3004016020410,恋鐘,ハーモニカ、吹いてもよか……？,可以吹口琴嗎……？
3004016020420,摩美々,どうぞー,請─
3004016020430,恋鐘,うん～……\nすぅ～って吸って～、吐いて～……,嗯～……\n深呼吸～，吐氣～～……
3004016020440,恋鐘,そいから──,然後──
3004016020450,恋鐘,…………、できた～～～！,…………，成功了～～～！
3004016020460,霧子,ふふっ……\nよかった……,嘻嘻……\n太好了……
3004016020470,摩美々,やったじゃーん,不錯嘛
3004016020480,摩美々,……でも、ここから\n１曲吹けるようにならなきゃなんでしょー？,……不過\n之後得要練到能吹出一首歌對吧？
3004016020490,恋鐘,うん～、そうやね\nでも、な～んか、わかった気のするばい！,嗯～，對呀\n但是，感覺有點懂了！
3004016020500,恋鐘,力ば抜いて、お腹から息をふうって…………,放輕鬆，用腹部出氣……
3004016020510,恋鐘,バラの匂いば、嗅いだ感じで……,感受著聞到的玫瑰花香……
3004016020520,恋鐘,んふふ～……\nふたりとも、ありがとうね～！,嘻嘻～……\n謝謝你們～！
3004016020530,摩美々,どういたしましてー,不客氣─
3004016020540,摩美々,ふふー\nお礼はバラソフトでー,嘿嘿─\n謝禮就來枝玫瑰霜淇淋─
3004016020550,霧子,キッチンカーが……\nあっちに……,那邊有……\n餐車……
3004016020560,恋鐘,そがんうまそうなもん出とったと～？\n気づかんかったばい……,有那麼好吃的東西在～？\n竟然沒發現……
3004016020570,恋鐘,……もちろんよかよ～！\nみんなで食べるばい！,……當然好囉～！\n一起吃吧！
info,produce_events/300401602.json,,
译者,,,
